,code,display_name,price,pe,inc_profit
0,000828.XSHE,东莞控股,9.8,11.2519,24.01
1,600012.XSHG,皖通高速,6.24,14.1573,28.77
2,300068.XSHE,南都电源,12.05,20.6518,238.89
3,002434.XSHE,万里扬,7.98,18.7337,105.48
4,002545.XSHE,东方铁塔,8.43,37.6806,132.33
5,600787.XSHG,中储股份,4.82,36.9753,110.52
6,600903.XSHG,贵州燃气,9.75,54.8277,81.6
7,000789.XSHE,万年青,13.49,7.2676,8.83
8,600206.XSHG,有研新材,12.84,60.3575,129.53
9,000717.XSHE,韶钢松山,4.42,6.2491,37.75
10,600877.XSHG,ST电能,13.4,94.5419,226.03
11,002302.XSHE,西部建设,8.81,14.4435,27.03
12,603666.XSHG,亿嘉和,86.55,38.4419,73.57
13,002310.XSHE,东方园林,4.16,11.8876,6415.2798
14,600761.XSHG,安徽合力,15.57,15.1822,31.18
15,600720.XSHG,祁连山,15.07,7.0092,32.66
16,688100.XSHG,威胜信息,23.02,41.7441,47.16
17,300206.XSHE,理邦仪器,19.49,17.784000000000002,456.51
18,603378.XSHG,亚士创能,60.1,36.9665,183.96
19,000685.XSHE,中山公用,8.15,8.4869,39.23
20,601330.XSHG,绿色动力,8.62,22.9574,76.32
21,600740.XSHG,山西焦化,6.88,24.4866,288.59
22,300026.XSHE,红日药业,4.15,21.5034,51.5
23,000030.XSHE,富奥股份,7.25,12.8671,43.55
24,000062.XSHE,深圳华强,11.96,20.660999999999998,23.44
25,002701.XSHE,奥瑞金,5.23,17.861,43.8
26,002332.XSHE,仙琚制药,12.69,25.0164,25.72
27,002158.XSHE,汉钟精机,22.22,35.1119,64.76
28,603881.XSHG,数据港,54.32,92.7641,104.8
29,300379.XSHE,东方通,44.06,123.0432,1316.39
30,002214.XSHE,大立科技,25.78,34.5754,45.4
31,300348.XSHE,长亮科技,18.43,75.4209,136.01
32,300682.XSHE,朗新科技,13.59,20.7945,44.6
33,688301.XSHG,奕瑞科技,180.02,60.7831,463.26
34,002531.XSHE,天顺风能,7.97,13.7093,30.18
35,000400.XSHE,许继电气,15.16,21.9301,41.78
36,002803.XSHE,吉宏股份,37.15,27.004,96.52
37,000778.XSHE,新兴铸管,3.74,9.2026,22.21
38,300850.XSHE,新强联,148.99,51.0384,525.07
39,601608.XSHG,中信重工,3.59,70.7325,1034.91
40,600098.XSHG,广州发展,5.86,16.3987,37.19
41,603927.XSHG,中科软,37.38,36.3946,148.93
42,600096.XSHG,云天化,8.15,131.7668,899.82
43,000582.XSHE,北部湾港,9.94,14.965,25.4
44,600820.XSHG,隧道股份,5.26,8.4297,38.89
45,688298.XSHG,东方生物,138.41,10.3028,484.22
46,603128.XSHG,华贸物流,13.26,35.2503,93.16
47,601098.XSHG,中南传媒,10.11,12.3298,45.99
48,603733.XSHG,仙鹤股份,25.52,26.8162,54.83
49,000402.XSHE,金融街,6.12,6.1264,58.25
50,688166.XSHG,博瑞医药,45.52,111.2049,114.17
51,002128.XSHE,露天煤业,9.92,8.2582,28.05
52,601139.XSHG,深圳燃气,6.62,14.3161,36.28
53,603298.XSHG,杭叉集团,23.9,22.9215,69.32
54,600282.XSHG,南钢股份,3.41,9.586,31.63
55,600008.XSHG,首创股份,2.96,16.338,110.81
56,600808.XSHG,马钢股份,2.79,17.9131,83.69
57,300373.XSHE,扬杰科技,43.81,65.1525,91.7
58,600167.XSHG,联美控股,10.56,12.4946,112.94
59,688088.XSHG,虹软科技,57.11,88.25299999999999,98.76
60,000883.XSHE,湖北能源,3.66,9.4854,116.68
61,002626.XSHE,金达威,37.35,32.7286,96.82
62,300115.XSHE,长盈精密,23.39,40.1872,132.35
63,002124.XSHE,天邦股份,17.83,8.3211,237.88
64,002608.XSHE,江苏国信,6.5,10.8617,29.86
65,601158.XSHG,重庆水务,5.09,14.1017,19.48
66,000975.XSHE,银泰黄金,9.39,21.4901,62.89
67,002056.XSHE,横店东磁,15.32,24.8209,78.82
68,000009.XSHE,中国宝安,9.43,40.4282,147.62
69,600380.XSHG,健康元,13.05,24.9683,26.67
70,603236.XSHG,移远通信,264.13,148.9536,264.54
71,002266.XSHE,浙富控股,5.16,45.3653,57.41
72,002223.XSHE,鱼跃医疗,28.03,15.932,113.96
73,300726.XSHE,宏达电子,72.65,75.83800000000001,148.65
74,600350.XSHG,山东高速,6.28,13.5213,93.52
75,601992.XSHG,金隅集团,2.87,11.3377,65.87
76,002372.XSHE,伟星新材,21.44,30.2712,51.9
77,601598.XSHG,中国外运,4.5,12.1134,43.46
78,601636.XSHG,旗滨集团,14.91,22.7035,73.64
79,601991.XSHG,大唐发电,2.36,18.9667,52.39
80,001965.XSHE,招商公路,7.06,19.4891,44.73
81,002709.XSHE,天赐材料,94.29,109.8094,461.35
82,601607.XSHG,上海医药,19.55,13.3347,14.13
83,688009.XSHG,中国通号,5.82,16.1937,58.1
84,002202.XSHE,金风科技,16.12,24.1419,103.81
85,600606.XSHG,绿地控股,5.65,5.0461,35.3
86,002179.XSHE,中航光电,72.28,54.7427,68.66
87,601985.XSHG,中国核电,5.17,15.283,80.14
88,002001.XSHE,新和成,43.98,28.4354,32.71
89,001979.XSHE,招商蛇口,12.93,8.4387,407.92
90,300782.XSHE,卓胜微,645.98,109.2671,115.02
91,601668.XSHG,中国建筑,4.99,4.9338,18.43
92,688981.XSHG,中芯国际,58.49,105.2592,185.6
