,code,name,close,volume,money,deal_number,change_pct
0,113017,吉视转债,89.49,9007,8064060.0,1019,0.224
1,128037,岩土转债,89.15,7616,6794766.33,615,-0.2796
2,123011,德尔转债,88.112,2631,2325407.0,465,-1.6827
3,128044,岭南转债,83.36,3336,2776560.1,604,0.1622
4,113519,长久转债,87.65,7418,6483980.0,569,1.4702
5,113527,维格转债,75.99,5393,4117654.0,1131,-0.9386
6,113528,长城转债,89.25,2043,1831854.0,299,-1.0751
7,123023,迪森转债,85.85,3689,3158093.22,550,0.0233
8,113530,大丰转债,88.92,5790,5174173.0,731,-0.5035
9,128062,亚药转债,67.397,26794,18106603.6,2853,-0.5885
10,113534,鼎胜转债,84.5,10783,9146707.0,1794,-0.5531
11,110058,永鼎转债,84.63,37230,31727973.0,4132,0.1538
12,128066,亚泰转债,86.19,3054,2637177.63,368,-0.7028
13,113535,大业转债,88.86,2986,2644906.0,389,0.2935
14,123028,清水转债,82.39,7517,6185714.64,930,1.4655
15,128069,华森转债,89.411,4672,4183768.37,728,-0.4221
16,128072,翔鹭转债,89.305,1961,1753759.12,242,0.0358
17,128073,哈尔转债,89.23,10702,9680743.04,1743,-3.0109
18,128074,游族转债,89.802,13578,12224658.59,1654,-1.0457
19,128076,金轮转债,84.987,3299,2815437.33,346,-0.6
20,113546,迪贝转债,89.65,1685,1511474.0,231,0.0223
21,128082,华锋转债,87.787,2779,2447963.76,393,-0.6485
22,128085,鸿达转债,74.722,353360,266913520.39,23674,-7.5223
23,128087,孚日转债,80.733,4346,3512399.37,547,-0.0829
24,113568,新春转债,87.08,13451,11762646.0,1389,-2.1573
25,113569,科达转债,80.2,6238,5003745.0,778,0.6652
26,113570,百达转债,88.58,2626,2330795.0,434,-1.1163
27,123044,红相转债,89.64,142349,128758570.34,13177,-1.4945
28,128100,搜特转债,72.2,28334,20926254.51,4020,-4.1169
29,113589,天创转债,75.6,8313,6423188.0,1534,-3.9024
30,127018,本钢转债,73.749,112249,82732962.66,7959,-0.0705
31,123057,美联转债,88.7,26909,23949630.46,2894,-2.7412
32,128118,瀛通转债,85.812,5385,4626571.68,502,-0.1606
33,127019,国城转债,75.7,7246,5506311.0,1070,-0.3947
34,128120,联诚转债,88.77,2059,1838928.67,323,-0.4452
35,113595,花王转债,82.5,9680,8082364.0,1671,-2.2743
36,113596,城地转债,78.3,11119,8760154.0,1329,-1.497
37,128105,长集转债,89.386,12154,10906138.43,1127,-0.3501
38,113576,起步转债,88.61,9477,8417194.0,1746,-1.1601
39,113578,全筑转债,89.54,8875,7913213.0,707,0.0559
40,123054,思特转债,85.9,2726,2340673.23,366,-0.1151
41,113600,新星转债,83.43,13574,11373506.0,1123,-0.5365
42,110072,广汇转债,70.3,100663,70914236.0,5641,-0.7903
43,110074,精达转债,87.22,22338,19457360.0,2028,0.4376
44,128127,文科转债,84.75,8269,7034477.06,869,-0.7146
45,113601,塞力转债,89.11,14152,12712880.0,1121,-0.9779
46,128132,交建转债,88.88,5582,4962098.59,778,-0.1348
47,113604,多伦转债,86.23,5020,4332920.0,1579,0.3141
48,123071,天能转债,89.86,5724,5172945.75,1040,-1.5168
49,123075,贝斯转债,89.5,32178,28692610.79,1708,1.359
50,123076,强力转债,85.0,24835,21103613.71,1947,-0.6475
51,123077,汉得转债,86.169,13409,11591572.19,1479,0.1278
52,113609,永安转债,86.82,229000,199779713.0,16562,3.0382
53,123080,海波转债,89.1,7087,6341654.06,1316,-1.66
54,127026,超声转债,89.797,7141,6458843.58,2149,-0.7768
55,127027,靖远转债,85.02,67098,57076668.62,25579,-0.6195
56,123085,万顺转2,89.699,46097,40875945.12,2676,0.0
57,123086,海兰转债,89.15,524710,472998249.94,115256,-10.85
58,123088,威唐转债,83.58,15095,12705651.65,2527,-1.5548
59,123089,九洲转2,86.898,6149,5403525.7,1895,-1.4762
60,128143,锋龙转债,89.147,30436,27142364.09,3859,0.1652
